name	cost	ingredient_1	ingredient_2	ingredient_3	ingredient_4	price	date	merchandisable	raw	demand	manufacturedAt	soldAt
Electric Toothbrush	-1	Plastics	Electric Engines			-1	1964	TRUE	FALSE	0	NOPE	NOPE
Electronic Components	890	Plastics	Copper Wire			17700	1925	FALSE	FALSE	0	Electronics	NOPE
Engines	4800	Steel				0	1935	FALSE	FALSE	0	NOPE	NOPE
Fabrics	840	Cotton				7920	1900	TRUE	FALSE	0	Clothing	Clothing
Fashion Jewellery	3700	Aluminum	Glass			23080	1955	FALSE	FALSE	0	NOPE	NOPE
Fish	490					6970	1955	TRUE	TRUE	0	Fishmonger	Grocery
Fishing	1190	Aluminum	Nylon			37460	1955	TRUE	FALSE	0	Sports	Sports
Fitness Appliances	3840	Steel				28150	1945	TRUE	FALSE	0	Sports	Sports
Footballs	560	Leather				18920	1926	TRUE	FALSE	0	Sports	Sports
Friction Train	1890	High Grade Steel				34300	1928	TRUE	FALSE	0	Toys	Toys
Fridge	4890	Plastics	Electric Engines	Steel		41000	1927	TRUE	FALSE	0	Home Appliances	Home Appliances
Frozen Foods	-1	Meat	Plastics			-1	1954	TRUE	FALSE	0	NOPE	NOPE
Fruit	280					6000	1900	TRUE	TRUE	0	Farm	Grocery
Fruit Juice	540	Fruit	Fruit	Glass		9920	1900	TRUE	FALSE	0	Grocery	Grocery
Fuel	600	Petroleum				26930	1000	TRUE	FALSE	0	Refinery	Gas Station
Furry Pets	870	Fabrics	Grain Wood			15690	1902	TRUE	FALSE	0	Toys	Toys
Gambling Pieces	460	Wooden Board				0	1919	FALSE	FALSE	0	NOPE	NOPE
Garden Furniture	-1	Plastics				-1	1962	TRUE	FALSE	0	Furniture	Furniture
Garden Gnome	990	Plastics				21300	1933	TRUE	FALSE	0	NOPE	NOPE
Garden Houses	840	Wooden Board	Wooden Board	Wooden Board		18300	1912	TRUE	FALSE	0	Furniture	Furniture
Gift Wrapping	600	Paper				12500	1916	TRUE	FALSE	0	Printshop	Printshop
Glass	360	Quartz Sand				10230	1900	TRUE	FALSE	0	NOPE	NOPE
Gold	6708					0	1955	FALSE	TRUE	0	Port	NOPE
Gold Jewellery	6500	Gold				30770	1955	FALSE	FALSE	0	NOPE	NOPE
Grain Wood	520	Cut Wood				1770	1900	FALSE	FALSE	0	Sawmill	NOPE
Grapes	1000					6920	1900	TRUE	TRUE	0	Vineyard	Grocery
Gril	1290	High Grade Steel				38460	1951	TRUE	FALSE	0	NOPE	NOPE
Guitar	-1	Wooden Board	Steel			-1	1918	TRUE	FALSE	0	Instruments	Instruments
Hairdryer	980	Plastics	Electric Engines			29840	1933	TRUE	FALSE	0	Home Appliances	Home Appliances
Hamburgers	560	Bread	Meat			17150	1924	TRUE	FALSE	0	Grocery	Grocery
Hand Mower	1890	Cut Wood	Steel			34300	1929	TRUE	FALSE	0	NOPE	NOPE
Handbags	980	Leather				12160	1919	TRUE	FALSE	0	Clothing	Clothing
HiFi Unit	1670	Plastics	Electronic Components			46840	1956	TRUE	FALSE	0	Electronics	Electronics
High Grade Steel	980	Precious Metals				3930	1904	FALSE	FALSE	0	NOPE	NOPE
Home Cinema	3990	Aluminum	Electronic Components	Glass		96160	2008	TRUE	FALSE	0	Electronics	Electronics
Hops	200					390	1900	FALSE	TRUE	0	NOPE	NOPE
Inflatable Boat	1440	Rubber				26690	1940	TRUE	FALSE	0	Sports	Sports
Iron Ore	400					-1	1900	FALSE	TRUE	0	NOPE	NOPE
Jeans	1300	Fabrics				28460	1954	TRUE	FALSE	0	Clothing	Clothing
Joke Articles	680	Plastics				8770	1909	TRUE	FALSE	0	Toys	Toys
Juke Box	2190	Plastics	Electronic Components	Steel		48000	1953	TRUE	FALSE	0	Instruments	Instruments
Kitchen Device	1290	Plastics	Electric Engines			42320	1955	TRUE	FALSE	0	Home Appliances	Home Appliances
Leather	360					1930	1900	FALSE	TRUE	0	Cow Farm	NOPE
Luxury Body	8450	Steel	Steel	Leather		0	1944	FALSE	FALSE	0	NOPE	NOPE
Luxury Motor Car	15670	Luxury Body	Tyres	Engines		134300	1944	TRUE	FALSE	0	NOPE	Car Dealer
Maize	380					7740	1900	TRUE	TRUE	0	Farm	Grocery
Meat	320					5230	1900	TRUE	TRUE	0	Farm	Grocery
Metal Cars	720	Steel				10840	1915	TRUE	FALSE	0	NOPE	NOPE
Microwave	-1	Aluminum	Electronic Components			-1	1968	TRUE	FALSE	0	Home Appliances	Home Appliances
Milk	220					4540	1900	TRUE	TRUE	0	Cow Farm	Grocery
Mobile Phone	1780	Electronic Components	Plastics			50770	1000	TRUE	FALSE	0	Electronics	Electronics
Model Railroad	2290	Plastics	Electronic Components			40380	1952	TRUE	FALSE	0	Toys	Toys
Motor Car	12450	Body	Tyres	Engines		85380	1935	TRUE	FALSE	0	NOPE	Car Dealer
Mouth Organ	780	Steel				14610	1941	TRUE	FALSE	0	Instruments	Instruments
MP3 Player	2190	Plastics	Electronic Components			60000	2005	TRUE	FALSE	0	Electronics	Electronics
Newspaper	750	Paper				8770	1900	TRUE	FALSE	0	Printshop	Printshop
Nylon	720	Petroleum				2770	1939	FALSE	FALSE	0	NOPE	NOPE
Nylon Tights	780	Nylon				19070	1939	TRUE	FALSE	0	Clothing	Clothing
Nylon Toothbrush	720	Plastics	Nylon			19920	1946	TRUE	FALSE	0	NOPE	NOPE
Office Furniture	-1	Wooden Board	Wooden Board	Steel		-1	1931	TRUE	FALSE	0	Furniture	Furniture
Paper	360	Grain Wood				6070	1900	TRUE	FALSE	0	Paper Factory	Printshop
Peanut Butter	-1	Peanuts	Milk			-1	1917	TRUE	FALSE	0	Grocery	Grocery
Peanuts	140					300	1905	FALSE	TRUE	0	Farm	NOPE
Petroleum	540					-1	1900	FALSE	TRUE	0	Oil Derelict	NOPE
Piano	3250	Wooden Board	Steel			41150	1926	TRUE	FALSE	0	Instruments	Instruments
Picture Frame	480	Wooden Board				7920	1900	TRUE	FALSE	0	Furniture	Furniture
Pinball Machine	1430	Wooden Board	Steel	Plastics		31540	1949	TRUE	FALSE	0	Electronics	Electronics
Plastic Boxes	1280	Plastics				23770	1950	TRUE	FALSE	0	NOPE	NOPE
Plastic Car Body	7500	Plastics	Plastics	Plastics		0	1000	FALSE	FALSE		NOPE	NOPE
Plastic Cars	720	Plastics				13840	1937	TRUE	FALSE	0	NOPE	NOPE
Plastic Discus	750	Plastics				18230	1000	TRUE	FALSE	0	Sports	Sports
Plastics	480	Petroleum				2540	1900	FALSE	FALSE	0	Chemical Plant	NOPE
Popcorn	660	Maize				6930	1900	TRUE	FALSE	0	Grocery	Grocery
Posters	700	Paper				16000	1924	TRUE	FALSE	0	Printshop	Printshop
Potatoes	360					7840	1900	TRUE	FALSE	0	Farm	NOPE
Power Mower	-1	Steel	Engines	Rubber		-1	1960	TRUE	FALSE	0	NOPE	NOPE
Precious Metals	560					-1	1900	FALSE	TRUE	0	Mine	NOPE
Preserved Fish	920	Fish	Cans			24920	1955	TRUE	FALSE	0	NOPE	NOPE
Preserved Fruit	-1	Fruit	Cans			-1	1934	TRUE	FALSE	0	NOPE	NOPE
Preserved Meat	-1	Meat	Cans			-1	1934	TRUE	FALSE	0	NOPE	NOPE
Push Button Phone	1470	Plastics	Electronic Components			48000	1966	TRUE	FALSE	0	Electronics	Electronics
Push Cart	2190	Steel	Rubber			22070	1906	TRUE	FALSE	0	Home Hardware	Home Hardware
Quartz Sand	260					0	1900	FALSE	TRUE	0	Mine	NOPE
Radio	1850	Wooden Board	Electronic Components			30770	1925	TRUE	FALSE	0	Electronics	Electronics
Raincoat	-1	Rubber				-1	1912	TRUE	FALSE	0	Clothing	Clothing
Rape	510					0	1000	FALSE	TRUE	0	Farm	
RC Cars	-1	Plastics	Electronic Components			-1	1968	TRUE	FALSE	0	NOPE	NOPE
Record	1050	Petroleum				22380	1948	TRUE	FALSE	0	Instruments	Instruments
Recorder	690	Wooden Board				11380	1916	TRUE	FALSE	0	Instruments	Instruments
Roasted Peanuts	320	Peanuts				10380	1905	TRUE	FALSE	0	Grocery	Grocery
Roller Skates	890	Leather	Steel			30000	1932	TRUE	FALSE	0	Sports	Sports
Rubber	560	Petroleum				2390	1900	FALSE	FALSE	0	Chemical Plant	NOPE
Satellite Receiver	1340	Aluminum	Plastics			38470	1000	TRUE	FALSE	0	Electronics	Electronics
Shoes	1400	Leather	Rubber			16000	1900	TRUE	FALSE	0	Clothing	Clothing
Silver	5748					0	1955	FALSE	TRUE	0	Port	NOPE
Silver Jewellery	6200	Silver				26930	1955	FALSE	FALSE	0	NOPE	NOPE
Skateboard	1920	Wooden Board				40690	1970	TRUE	FALSE	0	Sports	Sports
Skis	1520	Wooden Board				29150	1950	TRUE	FALSE	0	Sports	Sports
Sledge	960	Wooden Board				15690	1922	TRUE	FALSE	0	Sports	Sports
Snow Shovel	1190	Cut Wood	Steel			18300	1910	TRUE	FALSE	0	Home Hardware	Home Hardware
Snowboard	1670	Wooden Board	Steel			48150	1985	TRUE	FALSE	0	Sports	Sports
Sport Shoes	800	Fabrics	Leather	Rubber		42150	1947	TRUE	FALSE	0	Clothing	Clothing
Steel	850	Iron Ore				3000	1900	FALSE	FALSE	0	Forge	NOPE
Summer Clothes	1230	Fabrics				13690	1900	TRUE	FALSE	0	Clothing	Clothing
Sun Glasses	1780	High Grade Steel	Glass			38470	1955	TRUE	FALSE	0	NOPE	NOPE
Sun Protection	720	Petroleum				19770	1958	TRUE	FALSE	0	NOPE	NOPE
Telephone	2030	Plastics	Copper Wire			34300	1932	TRUE	FALSE	0	Electronics	Electronics
Tennis Racket	1290	Aluminum	Nylon			43690	1959	TRUE	FALSE	0	Sports	Sports
Tissues	-1	Grain Wood				13840	1914	TRUE	FALSE	0	NOPE	NOPE
Tomatoes	320					7680	1900	TRUE	FALSE	0	Farm	NOPE
Tools	1760	Wooden Board	Steel			17320	1900	TRUE	FALSE	0	Home Hardware	Home Hardware
Tricycles	1120	Steel				6380	1900	TRUE	FALSE	0	Toys	Toys
TV Set	2460	Wooden Board	Electronic Components	Glass		38380	1929	TRUE	FALSE	0	Electronics	Electronics
Tyres	2390	Steel	Rubber			20440	1935	TRUE	FALSE	0	NOPE	Car Dealer
Video Recorder	2340	Aluminum	Electronic Components			55390	1000	TRUE	FALSE	0	Electronics	Electronics
Wallpaper	1390	Paper				14610	1921	TRUE	FALSE	0	Printshop	Printshop
Washing Machine	3370	Steel	Steel	Electric Engines		46610	1938	TRUE	FALSE	0	Home Appliances	Home Appliances
Watch	1900	High Grade Steel	Leather	Glass		49240	1955	TRUE	FALSE	0	NOPE	NOPE
Watering Can	890	Plastics				19840	1948	TRUE	FALSE	0	NOPE	NOPE
Wheat	160					310	1900	FALSE	TRUE	0	Farm	NOPE
Whisky	1090	Glass	Wheat			17460	1900	TRUE	FALSE	0	Brewery	Grocery
Wine	1200	Glass	Grapes			16840	1900	TRUE	FALSE	0	Brewery	Grocery
Winter Clothes	1570	Wool	Wool			14460	1900	TRUE	FALSE	0	Clothing	Clothing
Wood Instruments	1670	Wooden Board	High Grade Steel			32920	1931	TRUE	FALSE	0	Instruments	Instruments
Wooden Board	720	Cut Wood				6500	1900	TRUE	FALSE	0	Home Hardware	Home Hardware
Wooden Furniture	2200	Wooden Board	Wooden Board			12070	1900	TRUE	FALSE	0	Furniture	Furniture
Wooden Ladder	1920	Wooden Board				9540	1900	TRUE	FALSE	0	Home Hardware	Home Hardware
Wooden Loco	1280	Wooden Board				6400	1900	TRUE	FALSE	0	Toys	Toys
Wool	280					6070	1900	TRUE	TRUE	0	Sheep Farm	Clothing
Working Clothes	2190	Fabrics	Leather			28380	1907	TRUE	FALSE	0	Clothing	Clothing
